utilidad, promedio_productos_Almacén, promedio_productos_Verdurería, promedio_productos_Panadería, promedio_productos_Refrigerados, tiempo_espera_Almacén, tiempo_espera_Verdurería, tiempo_espera_Panadería, tiempo_espera_Refrigerados, tiempo_balanza_Verdurería, tiempo_balanza_Panadería,tiempo_caja_Autoservicio, tiempo_caja_Normal, tiempo_caja_Preferencial, tiempo_permanencia_Normal,tiempo_permanencia_Preferencial
11772614.691654, 8510.644197, 812.051823, 777.162350, 2072.686616, 0.000000, 0.069020, 0.314716, 0.154390, 0.197583, 0.262769, 1.331798, 4.303613, 4.631319, 41.958510, 43.287454
11908555.650434, 8076.181152, 1031.562044, 792.132345, 2237.402646, 0.000000, 0.093204, 0.069607, 0.640229, 0.170576, 0.207536, 1.203062, 3.637898, 3.014234, 41.620147, 42.520301
11798199.391691, 8866.681447, 1222.314611, 745.341349, 2403.094129, 0.000000, 0.380359, 0.146182, 0.238970, 0.284144, 0.306386, 2.102982, 5.049943, 5.577451, 44.315450, 42.613969
11835385.346394, 9125.955918, 929.285761, 817.689271, 2458.404865, 0.000742, 0.134353, 0.052750, 0.038284, 0.362028, 0.233944, 5.050139, 11.204309, 12.852567, 47.545455, 44.663821
12122784.592868, 8537.367595, 921.456769, 728.770465, 2341.108839, 0.000347, 0.479213, 0.238664, 0.319469, 0.355770, 0.296372, 3.495813, 7.859834, 8.701861, 45.804336, 42.125018
12279909.724569, 8790.150491, 990.175929, 821.944950, 2203.625334, 0.000000, 0.695270, 0.065897, 0.166777, 0.443095, 0.263099, 5.188470, 10.532481, 11.294183, 48.235572, 42.781302
11525069.987992, 8451.306876, 1059.838869, 829.751233, 2452.418430, 0.018604, 0.851455, 0.299931, 0.032125, 0.311520, 0.200334, 3.325827, 7.299723, 8.742969, 45.644205, 40.148862
12071950.758684, 8851.091313, 958.530701, 683.827238, 2334.745680, 0.000000, 0.077461, 0.194302, 0.018644, 0.305899, 0.255804, 2.628644, 6.427072, 6.087381, 44.231483, 43.525125
12628902.185777, 8668.634351, 1185.541417, 807.399729, 2156.770816, 0.002633, 0.787413, 0.176171, 0.112671, 0.325308, 0.318151, 5.661083, 11.626670, 11.870863, 50.157568, 42.668302
11972645.627973, 8533.366416, 967.349646, 751.992865, 2266.109514, 0.000000, 0.167735, 0.164468, 0.014248, 0.253994, 0.284685, 3.429683, 7.826865, 9.095764, 45.926167, 44.089394
12995825.182224, 8007.134610, 774.012994, 621.589441, 2054.093651, 0.000876, 0.761564, 0.215243, 0.329848, 0.438747, 0.284660, 6.400042, 13.145601, 16.253573, 50.140234, 44.904203
11929447.858547, 8915.652800, 1115.848746, 682.997594, 2162.914149, 0.001043, 0.044932, 0.014301, 0.105022, 0.202260, 0.210126, 2.359854, 6.249867, 5.980872, 43.858961, 45.377191
11844417.439317, 8403.738188, 1030.325372, 682.718652, 2237.147144, 0.000000, 0.038545, 0.038797, 0.021398, 0.257636, 0.204384, 1.813165, 4.800607, 4.902213, 43.211350, 40.874959
11619987.749477, 8972.307344, 1149.215368, 805.877595, 2177.440461, 0.000000, 0.218165, 0.077068, 0.031630, 0.197646, 0.260485, 3.065438, 7.162201, 7.379735, 43.955005, 42.325461
12088812.921172, 8786.532396, 890.406312, 654.847975, 2224.474587, 0.000434, 0.359458, 0.314183, 0.094310, 0.296027, 0.340736, 5.293078, 10.811152, 12.867488, 47.546593, 45.472845
12161482.250156, 8792.632483, 942.156040, 703.796090, 2093.119263, 0.005620, 0.234007, 0.076033, 0.314985, 0.271494, 0.264450, 5.098842, 10.693815, 12.554037, 47.570184, 45.156837
11897016.439671, 8762.937057, 920.346402, 789.823995, 2195.772270, 0.000000, 0.389555, 0.066034, 0.058414, 0.306212, 0.264155, 4.503195, 10.096667, 11.429145, 47.467057, 43.663975
11985232.126497, 9003.396996, 1184.625503, 756.834048, 2464.825864, 0.000000, 0.045424, 0.049137, 0.005334, 0.171573, 0.254728, 3.431570, 7.648624, 8.692806, 44.221949, 43.908636
